Index,alpha1,alpha2,result,how,sutraNum,sutraEnglish,scVasu
1,अ,अ,आ,सवर्णदीर्घ,6.1.101,"""In this अधिकार the doubling happens for the first एकाच् entity of the verb"",","""In the room of the first portion, containing a single vowel, there are two."","
2,अ,आ,आ,सवर्णदीर्घ,6.1.101,"""In this अधिकार the doubling happens for the first एकाच् entity of the verb"",","""In the room of the first portion, containing a single vowel, there are two."","
3,अ,इ,ए,गुण,6.1.87,"""The गुण is the single substitute of the final अ or आ of a preceding word and the simple vowel of the succeeding (अ or आ + a vowel = गुण)।"",","""The सिच् Aorist, the first syllable may optionally have the acute accent."","
4,अ,ई,ए,गुण,6.1.87,"""The गुण is the single substitute of the final अ or आ of a preceding word and the simple vowel of the succeeding (अ or आ + a vowel = गुण)।"",","""The सिच् Aorist, the first syllable may optionally have the acute accent."","
5,अ,उ,ओ,गुण,6.1.87,"""The गुण is the single substitute of the final अ or आ of a preceding word and the simple vowel of the succeeding (अ or आ + a vowel = गुण)।""","""The सिच् Aorist, the first syllable may optionally have the acute accent."","
6,अ,ऊ,ओ,गुण,6.1.87,"""The गुण is the single substitute of the final अ or आ of a preceding word and the simple vowel of the succeeding (अ or आ + a vowel = गुण)।""","""The सिच् Aorist, the first syllable may optionally have the acute accent."","
7,अ,ऋ,अर्,गुण,6.1.87,"""The गुण is the single substitute of the final अ or आ of a preceding word and the simple vowel of the succeeding (अ or आ + a vowel = गुण)।""","""The सिच् Aorist, the first syllable may optionally have the acute accent."","
8,अ,ऋ,अ ऋ,प्रकृतिभाव,6.1.128,,"""According to the opinion of शाकल्य , the simple vowel followed by ऋ retains its original form, and if the vowel is long, it is shortened."",
    "
9,अ,़,अर्,गुण,6.1.87,"""The गुण is the single substitute of the final अ or आ of a preceding word and the simple vowel of the succeeding (अ or आ + a vowel = गुण)।""","""The गुण is the single substitute of the final अ or आ of a preceding word and the simple vowel of the succeeding (अ or आ + a vowel = गुण)।"",
    "
10,अ,ऌ,अल्,गुण,6.1.87,"""The गुण is the single substitute of the final अ or आ of a preceding word and the simple vowel of the succeeding (अ or आ + a vowel = गुण)।""","""The गुण is the single substitute of the final अ or आ of a preceding word and the simple vowel of the succeeding (अ or आ + a vowel = गुण)।"",
    "
11,अ,ऌ,अ ऌ,प्रकृतिभाव,6.1.128,,"""According to the opinion of शाकल्य , the simple vowel followed by ऋ retains its original form, and if the vowel is long, it is shortened."",
    "
12,अ,ए,ऐ,वृद्धि,6.1.88,"""When an अवर्ण is followed by an एच् letter in the context of संहिता, both of them are replaced by a single वृद्धि letter. ","""The acute accent is optionally on the first syllable when a Personal-ending, being सार्वधातुक tense affix beginning with a vowel, provided that the vowel is not the augment इट् , follows after स्वप् etc., or after हिंस्।"",
   "
13,अ,ऐ,ऐ,वृद्धि,6.1.88,"""When an अवर्ण is followed by an एच् letter in the context of संहिता, both of them are replaced by a single वृद्धि letter. ","""The acute accent is optionally on the first syllable when a Personal-ending, being सार्वधातुक tense affix beginning with a vowel, provided that the vowel is not the augment इट् , follows after स्वप् etc., or after हिंस्।"",
    "
14,अ,ओ,औ,वृद्धि,6.1.88,"""When an अवर्ण is followed by an एच् letter in the context of संहिता, both of them are replaced by a single वृद्धि letter. ","""The acute accent is optionally on the first syllable when a Personal-ending, being सार्वधातुक tense affix beginning with a vowel, provided that the vowel is not the augment इट् , follows after स्वप् etc., or after हिंस्।"",
    "
15,अ,औ,औ,वृद्धि,6.1.88,"""When an अवर्ण is followed by an एच् letter in the context of संहिता, both of them are replaced by a single वृद्धि letter. ","""The acute accent is optionally on the first syllable when a Personal-ending, being सार्वधातुक tense affix beginning with a vowel, provided that the vowel is not the augment इट् , follows after स्वप् etc., or after हिंस्।"",
    "
